no,question,answer,attempts,correct,wrong
1,How do you split a variable called 'text' by a comma and save the parts into a list?,"parts = text.split(',')",0,0,0
2,What Python function is used to check the length of a list named 'my_list'?,len(my_list),0,0,0
3,How do you add a new item 'item' to the end of a list 'my_list'?,my_list.append(item),0,0,0
4,What is the syntax for defining a Python function named 'add' that takes two arguments 'a' and 'b' and returns their sum?,"def add(a, b): return a + b",0,0,0
5,How do you remove the last item from a list 'my_list'?,my_list.pop(),0,0,0
6,What is the Python keyword for defining a conditional statement?,if,0,0,0
7,How do you declare a variable 'x' and assign it the value 42?,x = 42,0,0,0
8,What method is used to capitalize the first letter of a string 'text'?,text.capitalize(),0,0,0
9,How do you check if a key 'key' exists in a dictionary 'my_dict'?,'key' in my_dict,0,0,0
10,What is the purpose of the 'range()' function in Python?,Generating a sequence of numbers,0,0,0
11,How do you open a file named 'file.txt' in Python for writing?,"file = open('file.txt', 'w')",0,0,0
12,What does the 'join()' method do for strings?,Combines a list of strings into one string,0,0,0
13,"How do you create a tuple 'my_tuple' with three elements '1', '2', and '3'?","my_tuple = (1, 2, 3)",0,0,0
14,What Python keyword is used to create a loop that repeats a block of code a specified number of times?,for,0,0,0
15,How do you remove all occurrences of the value 'x' from a list 'my_list'?,my_list.remove(x),0,0,0
16,What does the 'strip()' method do for strings?,Removes leading and trailing whitespace,0,0,0
17,How do you import the 'math' module in Python?,import math,0,0,0
18,What is a 'docstring' in Python?,A string providing documentation for a function or module,0,0,0
19,How do you define a Python lambda function that squares a number 'x'?,square = lambda x: x ** 2,0,0,0
20,What is the Python operator for exponentiation?,**,0,0,0
21,How do you check if a file 'file.txt' exists in the current directory?,"import os
if os.path.exists('file.txt'):",0,0,0
22,How do you replace all occurrences of 'old' with 'new' in a string 'text'?,"text.replace('old', 'new')",0,0,0
23,What does the 'zip()' function do in Python?,Combines two or more iterables element-wise,0,0,0
24,How do you convert a string 'num_str' to an integer?,num = int(num_str),5,1,4
25,What is the syntax for a Python try...except block?,"try:
    # code
except Exception as e:
    # handle error",0,0,0
26,How do you check if a value 'x' is in a list 'my_list'?,if x in my_list:,0,0,0
27,What is the purpose of the 'enumerate()' function in Python?,Iterates over elements with their index,0,0,0
28,How do you round a floating-point number 'x' to two decimal places?,"rounded = round(x, 2)",0,0,0
29,What is the syntax for defining a Python class named 'Person'?,"class Person:
    # class code",0,0,0
30,How do you find the maximum value in a list 'my_list'?,max_value = max(my_list),0,0,0
